Short Name,Long Name,Global ID
345,BG.Oost.760,1EcnkFUEX4Ghhefn8c677p
346,BG.Oost.800,1EcnkFUEX4Ghhefn8c677o
347,BG.Oost.801,1EcnkFUEX4Ghhefn8c677r
348,BG.Oost.802,1EcnkFUEX4Ghhefn8c677q
349,BG.Oost.803,1EcnkFUEX4Ghhefn8c677t
350,BG.Oost.804,1EcnkFUEX4Ghhefn8c677s
351,BG.Oost.805,1EcnkFUEX4Ghhefn8c677f
353,BG.Oost.808,1EcnkFUEX4Ghhefn8c677h
354,BG.Oost.810,1EcnkFUEX4Ghhefn8c677g
355,BG.Oost.812,1EcnkFUEX4Ghhefn8c677j
356,BG.Oost.813,1EcnkFUEX4Ghhefn8c677i
357,BG.Oost.814,1EcnkFUEX4Ghhefn8c677l
359,BG.Oost.830,1EcnkFUEX4Ghhefn8c677X
360,BG.Oost.842,1EcnkFUEX4Ghhefn8c677W
361,BG.Oost.843,1EcnkFUEX4Ghhefn8c677Z
362,BG.Oost.851,1EcnkFUEX4Ghhefn8c677Y
363,BG.Oost.852,1EcnkFUEX4Ghhefn8c677b
364,BG.Oost.853,1EcnkFUEX4Ghhefn8c677a
365,BG.Oost.854,1EcnkFUEX4Ghhefn8c677d
367,BG.Oost.856,1EcnkFUEX4Ghhefn8c676P
368,BG.Oost.859,1EcnkFUEX4Ghhefn8c676O
370,BG.Oost.862,1EcnkFUEX4Ghhefn8c676Q
372,BG.Oost.891,1EcnkFUEX4Ghhefn8c676S
373,BG.Oost.900,1EcnkFUEX4Ghhefn8c676V
374,BG.Oost.930,1EcnkFUEX4Ghhefn8c676U
375,BG.Oost.940,1EcnkFUEX4Ghhefn8c676H
376,BG.Oost.950,1EcnkFUEX4Ghhefn8c676G
377,BG.West 501,1EcnkFUEX4Ghhefn8c676J
378,BG.West.010,1EcnkFUEX4Ghhefn8c676I
379,BG.West.030,1EcnkFUEX4Ghhefn8c676L
380,BG.West.080,1EcnkFUEX4Ghhefn8c676K
381,BG.West.090,1EcnkFUEX4Ghhefn8c676N
382,BG.West.100,1EcnkFUEX4Ghhefn8c676M
383,BG.West.110,1EcnkFUEX4Ghhefn8c6769
384,BG.West.130,1EcnkFUEX4Ghhefn8c6768
386,BG.West.150,1EcnkFUEX4Ghhefn8c676A
387,BG.West.160,1EcnkFUEX4Ghhefn8c676D
388,BG.West.170,1EcnkFUEX4Ghhefn8c676C
389,BG.West.200,1EcnkFUEX4Ghhefn8c676F
390,BG.West.201,1EcnkFUEX4Ghhefn8c676E
391,BG.West.202,1EcnkFUEX4Ghhefn8c6761
392,BG.West.230,1EcnkFUEX4Ghhefn8c6760
393,BG.West.250,1EcnkFUEX4Ghhefn8c6763
394,BG.West.270,1EcnkFUEX4Ghhefn8c6762
